id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
165700,boardgameexpansion,Super Tooth: Euoplocephalus Promo Card,2014,2,4,15,15,15,5,0,0,0,11,1,0,0,0,0,0
165701,boardgameexpansion,Super Tooth: Dino Bones Promo Card,2014,2,4,15,15,15,5,0,0,0,13,1,0,0,0,0,0
165704,boardgame,Jagged Edge,2014,3,4,45,45,45,12,0,0,0,1,0,0,0,0,0,0
165705,boardgame,StormChasers,2012,2,5,45,45,45,13,0,0,0,1,0,0,0,1,0,0
165706,boardgame, ,2014,2,4,45,45,45,8,7,7.1,0,10,1,1,2,0,0,0
165707,boardgame,Magikaboom,2014,2,6,0,0,0,7,6,6.16667,0,14,1,0,2,0,0,0
165708,boardgame,Mostrilli,2014,2,4,0,0,0,5,2,5.5,0,14,0,0,0,0,1,1
165709,boardgame,Ghiotto di Ghiande,2014,2,6,0,0,0,5,1,7,0,14,0,0,1,0,0,0
165711,boardgame,Pizzeria Italia,2014,2,6,0,0,0,6,9,5.61111,0,27,2,0,0,2,1,1
165712,boardgame,Potje Duizend,1980,1,6,5,5,5,8,2,1,0,2,0,0,1,1,1,1
165714,boardgame,Polpastrelli,2014,3,6,0,0,0,4,1,7,0,8,0,0,1,0,0,0
165715,boardgame,Tutti al Mare,2014,2,6,0,0,0,6,0,0,0,5,0,0,0,0,0,0
165721,boardgame,Krkortsspelet,2014,1,6,15,15,15,14,0,0,0,2,0,0,0,1,0,0
165722,boardgame,KLASK,2014,2,2,10,10,10,0,4,7.125,0,9,0,1,18,3,1,1
165725,boardgame,Bestium!,2014,2,8,10,10,10,7,1,6,0,3,0,0,0,1,0,0
165731,boardgame,Letterbingo,1980,2,6,5,5,5,8,1,5,0,1,0,0,0,1,0,0
165733,boardgame,Dubbel-dobbel,1980,2,6,15,15,15,5,1,3,0,1,0,0,0,1,0,0
165736,boardgame,Escape Pod,2015,2,5,45,45,45,13,0,0,0,1,0,0,0,0,0,0
165738,boardgame,5 Men in Normandy,2014,1,2,0,0,0,0,1,6,0,4,0,0,2,0,0,0
165739,boardgameexpansion,Dice's Zoo: Fleas Invade,2014,2,5,10,10,10,6,8,5.75,0,20,1,0,2,2,1,1
165740,boardgame,18OE/18C2C,2014,2,8,720,720,720,14,1,10,0,5,0,2,3,2,0,0
165743,boardgame,In Love and War,2014,2,5,15,15,15,6,14,5.46429,0,21,0,0,12,3,3,2
165745,boardgame,Analogies,2007,3,99,30,30,30,10,0,0,0,0,0,0,0,0,0,0
165748,boardgame,Psycho Raiders,2014,2,7,45,45,45,18,26,8.14038,0,106,1,9,39,22,4,2.75
165753,boardgame,Platoon Leader,2014,1,2,60,60,60,13,3,8.56667,0,22,0,9,15,5,0,0
165754,boardgameexpansion,Corto: The Secrets of Venice,2014,2,4,30,30,30,10,7,7.10714,0,79,1,9,19,5,0,0
165757,boardgame,Love Hotel,2002,3,6,30,30,30,16,0,0,0,2,1,0,0,0,0,0
165762,boardgame,Alarm,1962,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165769,boardgame,Dozen Doubloons,2014,1,1,5,5,5,8,11,6.48182,0,21,0,0,1,4,2,1
165774,boardgameexpansion,Mice and Mystics: Turtle Shell,2014,1,4,60,60,60,7,11,7.72727,0,111,0,70,117,5,2,2.5
165775,boardgameexpansion,Mice and Mystics: Off Toppers,2014,1,4,60,60,60,7,9,7.88889,0,108,0,72,119,4,2,2.5
165777,boardgame,Scommettiamo?,1976,3,4,0,0,0,0,1,5,0,2,1,0,0,0,0,0
165779,boardgame,Smoke and Travel,2014,2,6,120,120,120,18,0,0,0,1,0,0,0,0,0,0
165782,boardgameexpansion,Alley Thieves: Guild Expansion,2014,2,4,20,20,20,12,2,6.5,0,6,1,1,2,1,0,0
165788,boardgame,The Amega Weapon,2014,2,6,30,30,30,12,1,7,0,3,0,1,0,1,0,0
165789,boardgame,Planetaire: The Grand Tour,2003,1,4,0,0,0,8,1,8,0,1,0,1,1,1,0,0
165793,boardgame,Hunters over Korea: A Solitaire Game of Air Combat over Korea (1950-1953),2014,1,1,30,30,30,10,3,7,0,13,0,2,10,3,2,1.5
165795,boardgame,Benjamin Blmchen: Huuiii,1997,2,4,0,0,0,5,0,0,0,1,0,0,0,1,0,0
165796,boardgame,Assel Schlamassel,2014,3,6,15,15,15,8,20,6.215,0,45,3,3,9,4,1,1
165797,boardgame,Der unendliche Fluss,2014,2,4,15,15,15,6,20,5.95,0,41,0,12,35,6,1,1
165798,boardgame,Auge um Auge,2014,4,6,45,45,45,12,5,4.6,0,30,1,0,2,4,1,1
165799,boardgame,Eternity Wars: The Card Game,2014,2,2,30,30,30,14,1,5.67,0,1,0,0,0,0,0,0
165800,boardgame,Battle of Mikatagahara ,2013,1,2,120,120,120,10,1,6,0,4,0,0,1,0,0,0
165802,boardgameexpansion,Sushi Go!: Soy Sauce Promo,2014,2,5,15,15,15,8,264,7.03413,5.91717,1363,115,52,119,112,18,1.2778
165805,boardgame,Dumpster Brawl!,2015,2,6,30,30,30,6,8,8.4375,0,26,2,0,2,7,5,2.2
165812,boardgame,The Nightmare Forest: Dead Run,2016,1,6,40,20,40,8,1,9,0,2,0,0,1,0,1,1
165813,boardgame,Old Town Robbery,2015,2,7,20,20,20,8,2,6.2,0,4,0,2,8,1,0,0
165818,boardgame,Die Schul' ist aus!,0,2,6,30,30,30,6,0,0,0,0,0,0,0,0,0,0
165828,boardgame,Truths Too Terrible,2015,2,4,30,30,30,10,18,6.89778,0,58,2,1,5,4,5,2
165832,boardgame,The Reservation Road Planner: Tribal Board Game,2010,1,4,0,0,0,0,2,1.5,0,2,0,0,0,0,1,1
165833,boardgameexpansion,Curse of the Mummy's Tomb: In Search of Eternity,1988,1,4,120,120,120,12,0,0,0,6,0,3,3,0,0,0
165839,boardgameexpansion,Sushi Dice: Paella & French Fries,2014,2,6,20,20,20,7,19,6.51105,0,71,1,1,2,5,0,0
165842,boardgame,The King's Rings,2014,2,10,45,45,45,8,0,0,0,1,0,0,0,0,0,0
165843,boardgame,Unicum,2014,3,7,20,20,20,10,1,5.5,0,13,1,0,4,5,0,0
165846,boardgameexpansion,Wok Star: Paige Turner Promo Character,2014,1,4,60,60,60,10,17,6.72059,0,272,9,6,9,10,1,2
165871,boardgame,Rise of the Northmen,2015,2,3,90,90,90,12,0,0,0,1,0,2,12,1,0,0
165872,boardgame,Liberty or Death: The American Insurrection,0,1,4,180,180,180,14,5,8.1,0,11,0,44,209,26,4,3.25
165873,boardgameexpansion,Hug me more,2012,2,8,45,45,45,14,1,6.5,0,1,1,0,0,0,0,0
165874,boardgameexpansion,Bloody Red Flag,2001,2,30,240,240,240,14,1,9,0,3,0,1,1,0,0,0
165875,boardgame,3-Wide,2014,2,6,120,120,120,10,0,0,0,4,0,0,3,0,1,3
165880,boardgame,MashUp Monsters,2014,3,5,15,15,15,6,9,5.77778,0,11,0,0,1,2,1,1
165884,boardgame,The Festivals of Indonesia,2014,2,4,45,45,45,10,0,0,0,1,0,3,4,0,0,0
165888,boardgame,Wongamania,2014,2,6,30,30,30,8,12,8.16667,0,16,1,0,5,9,4,2.5
165889,boardgame,Safe Breaker,2014,3,6,10,10,10,7,20,6.8675,0,34,0,1,14,8,2,1
